Name,Pronouns,UFL Email,Phone,Socials,Year,Major,Other Orgs,"Role (0=Big,1=Little)",Preferred Littles,Preferred Bigs,Pairing Requests (Optional),"On/Off Campus (0=On,1=Off)","Has Car (0=No,1=Yes)",Ideal Big/Little,Looking For ACE,Free Time,Hobbies,Favorite Artists/Songs,Icks,Talk for Hours About,Self Description,Best Joke,Favorite Food,"EarlyBird/NightOwl (0=Early,1=Night)",Extroversion (1-5),Good Advice (1-5),Plans Style (1-5),Study Frequency (1-5),Gym Frequency (1-5),Spending Habits (1-5),Friday Night,Additional Info (Optional)
Michael Marquez,she/her,jared122@ufl.edu,805.450.2744x783,@brian42,0,Computer Science,FSA,1,,3.0,,0,0,Chill and introverted,Guide underclassmen,reading,"gaming, gym, reading",Drake - Pop,Talking over others,fashion trends,Analysis experience court note source agency father attorney.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,1,4,2,2,2,2,1,movie night,Looking for study buddies
Joshua Schultz DDS,they/them,jacqueline726@ufl.edu,189-648-2065x76262,@rebecca20,0,Computer Science,CSA,1,,2.0,Prefer someone from AAA,0,1,Supportive and caring,Find a mentor,painting,"music, gym",Taylor Swift - Rock,Chewing loudly,k-pop gossip,Front wait great send since score pick own expert else buy respond financial.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,1,2,4,2,3,4,2,dinner with friends,
Stephanie Burton,she/her,matthew737@ufl.edu,001-774-558-7096x815,@brandon13,0,Data Science,VSO,1,,2.0,,1,1,Supportive and caring,Find a mentor,gaming,"cooking, gym",Post Malone - Indie,Chewing loudly,AI & tech,Save even continue require probably past collection paper black space range ability science plan same build.,I only know 25 letters of the alphabet. I don’t know y.,I would literally eat anything,0,4,2,3,2,3,3,gaming all night,
Melissa Church,she/her,matthew850@ufl.edu,(318)558-9943,@katherine1,0,Mechanical Engineering,HSA,1,,4.0,Prefer someone also into K-pop,0,1,Chill and introverted,Meet new people,movies,"music, painting, cooking",SZA - Hip-hop,Chewing loudly,sports,Heavy huge better majority less set hope answer week scene instead often.,What do you call fake spaghetti? An impasta!,Italian,1,2,4,2,3,3,4,dinner with friends,I love hanging out at Plaza of Americas
Wendy Weber,he/him,lori7@ufl.edu,3872485058,@nicole95,0,Computer Science,None,1,,5.0,Prefer someone also into K-pop,1,1,Shares similar hobbies,Network and make friends,painting,"gaming, music, gym",Post Malone - EDM,Bad hygiene,fashion trends,Reveal much type leave along change land now third financial by song answer blood feel.,Why did the scarecrow get promoted? He was outstanding in his field.,American,0,4,2,2,5,3,2,studying at Marston,
Jordan Taylor,she/her,michelle622@ufl.edu,465.422.4051x259,@randy45,0,Data Science,None,1,,5.0,Prefer someone from AAA,1,0,Fun and outgoing,Find a mentor,photography,"cooking, reading",Taylor Swift - K-pop,Bad hygiene,sports,Alone reveal town somebody officer speak sport church affect real deal eye leg suddenly partner this.,Why did the scarecrow get promoted? He was outstanding in his field.,American,0,2,2,3,3,4,3,sleeping early,Looking for study buddies
Judith Sutton,she/her,michael390@ufl.edu,(923)930-9555,@justin32,0,Marketing,AAA,1,,1.0,Prefer someone also into K-pop,1,0,Shares similar hobbies,Meet new people,music,"reading, painting",NewJeans - EDM,Being late,sports,Same role up majority run social claim television to red song part find leave through.,I only know 25 letters of the alphabet. I don’t know y.,Italian,1,4,2,1,4,1,4,studying at Marston,I love hanging out at Plaza of Americas
Robert Brown,she/her,kenneth259@ufl.edu,983.084.3059,@kathleen42,0,Biology,HSA,1,,1.0,Prefer someone same major,0,0,Chill and introverted,Meet new people,music,"cooking, gym, music",The Weeknd - Indie,Chewing loudly,movies & TV shows,Current morning information feeling interesting a establish including hand television before would.,I only know 25 letters of the alphabet. I don’t know y.,Asian,0,3,4,3,5,5,5,gaming all night,
Jacqueline Trevino,they/them,steven241@ufl.edu,(402)695-7442x6137,@toni79,0,Data Science,HSA,1,,2.0,,1,1,Fun and outgoing,Meet new people,cooking,"music, movies",The Weeknd - K-pop,Being late,k-pop gossip,Rise determine current test growth hot find trial.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,0,4,3,1,4,1,4,gaming all night,
Melissa Simon,they/them,brett229@ufl.edu,562-866-8308,@micheal61,0,Biology,VSO,1,,5.0,Prefer someone also into K-pop,1,0,Chill and introverted,Network and make friends,movies,photography,Drake - Hip-hop,Bad hygiene,k-pop gossip,Onto source protect sometimes cut region blue.,Why don’t skeletons fight each other? They don’t have the guts.,Italian,1,4,3,1,5,5,4,movie night,
Paul Burnett,she/her,jeffrey612@ufl.edu,(845)903-8387x1700,@kayla63,0,Computer Science,CSA,1,,3.0,Prefer someone from AAA,0,1,Supportive and caring,Network and make friends,gym,"painting, cooking, reading",Drake - Indie,Overusing emojis,gaming strategies,Hospital outside necessary sport father away top loss.,Why don’t skeletons fight each other? They don’t have the guts.,Italian,0,4,2,1,4,5,5,dinner with friends,
Francisco Hubbard,he/him,steven840@ufl.edu,(888)506-0554x93918,@margaret10,0,Mechanical Engineering,CSA,1,,1.0,Prefer someone same major,0,1,Chill and introverted,Guide underclassmen,gym,gym,NewJeans - Hip-hop,Being late,movies & TV shows,Account recent campaign leg say only environmental gun along under reality final.,What do you call fake spaghetti? An impasta!,Italian,0,3,4,2,5,5,2,studying at Marston,
Erica Smith,she/her,justin997@ufl.edu,120.815.3844x207,@chelsey67,0,Mechanical Engineering,None,1,,3.0,Prefer someone same major,1,1,Fun and outgoing,Find a mentor,gaming,"movies, cooking, gaming",Taylor Swift - K-pop,Overusing emojis,gaming strategies,Near at say address feel have born field company.,I only know 25 letters of the alphabet. I don’t know y.,American,1,3,3,3,5,5,1,sleeping early,I love hanging out at Plaza of Americas
Judy Lopez,he/him,ian271@ufl.edu,099.335.3570,@juan33,0,Biology,FSA,1,,1.0,Prefer someone from AAA,0,1,Shares similar hobbies,Network and make friends,movies,"gaming, cooking",Drake - Rock,Bad hygiene,AI & tech,Education through glass likely gun nearly factor.,What do you call fake spaghetti? An impasta!,Mexican,1,4,4,1,5,3,5,studying at Marston,
Daniel Martinez,she/her,victoria294@ufl.edu,(091)250-6734x27225,@sandra27,0,Biology,VSO,1,,3.0,Prefer someone also into K-pop,0,0,Shares similar hobbies,Network and make friends,painting,reading,Joji - Rock,Talking over others,gaming strategies,Fear moment plan which admit walk return try.,I only know 25 letters of the alphabet. I don’t know y.,American,0,2,2,1,2,4,3,gaming all night,I love hanging out at Plaza of Americas
Stephanie Church,she/her,kyle937@ufl.edu,078.743.6794x22428,@michelle20,0,Finance,None,1,,5.0,Prefer someone from AAA,0,1,Supportive and caring,Network and make friends,painting,"movies, cooking",Joji - EDM,Bad hygiene,AI & tech,Way close avoid fear every side network cultural view statement political sell.,I only know 25 letters of the alphabet. I don’t know y.,Greek/Mediterranean,1,3,3,2,3,5,1,going out,
Ashley Hull,they/them,matthew935@ufl.edu,640-643-7506x9499,@kyle13,0,Data Science,CSA,1,,2.0,,0,0,Supportive and caring,Meet new people,movies,music,Drake - Hip-hop,Talking over others,movies & TV shows,Place bar entire civil because smile TV name.,I only know 25 letters of the alphabet. I don’t know y.,Italian,1,2,3,2,4,5,4,going out,
Lisa Porter,she/her,michelle403@ufl.edu,815.512.0374,@kristin23,0,Computer Science,None,1,,1.0,,1,1,Chill and introverted,Find a mentor,photography,"photography, painting",Taylor Swift - Pop,Overusing emojis,sports,How decade over night forget art western about guess left increase do for trouble sea age.,Why did the scarecrow get promoted? He was outstanding in his field.,American,0,3,4,3,3,4,5,gaming all night,
Michael Day,she/her,tammy165@ufl.edu,2742800680,@jessica7,0,Data Science,CSA,1,,1.0,,1,0,Supportive and caring,Guide underclassmen,movies,"music, gym, reading",Post Malone - Pop,Being late,k-pop gossip,Job fly scene per ball economy size sure job serious democratic ability war each beyond.,What do you call fake spaghetti? An impasta!,I would literally eat anything,1,4,2,1,5,1,4,dinner with friends,I love hanging out at Plaza of Americas
Darrell Silva,he/him,jennifer110@ufl.edu,001-834-621-8261x73004,@angela39,0,Data Science,VSO,1,,5.0,Prefer someone also into K-pop,0,1,Shares similar hobbies,Network and make friends,movies,"reading, gaming",The Weeknd - K-pop,Talking over others,movies & TV shows,Nothing scene new say sit bad number religious could involve.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,1,4,2,2,4,2,2,gaming all night,
Melissa Ibarra,he/him,christina152@ufl.edu,988.233.3359x91203,@jonathan62,0,Data Science,HSA,1,,4.0,,1,1,Fun and outgoing,Network and make friends,cooking,"gaming, traveling, movies",Joji - Pop,Chewing loudly,AI & tech,Join truth speech recognize box police wrong bed.,What do you call fake spaghetti? An impasta!,American,1,2,2,3,2,3,5,movie night,I love hanging out at Plaza of Americas
David Montgomery,she/her,chad350@ufl.edu,+1-944-820-3548x168,@lee84,0,Biology,FSA,1,,4.0,Prefer someone also into K-pop,0,0,Chill and introverted,Meet new people,cooking,gym,Joji - Rock,Talking over others,sports,Boy although deep thing seek direction activity.,Why don’t skeletons fight each other? They don’t have the guts.,Asian,1,3,4,1,3,3,4,going out,I love hanging out at Plaza of Americas
David Welch,they/them,mark98@ufl.edu,001-539-341-5606x783,@james7,0,Marketing,AAA,1,,4.0,Prefer someone from AAA,1,0,Chill and introverted,Find a mentor,photography,"reading, painting, gym",Post Malone - Rock,Chewing loudly,movies & TV shows,Exist start nation board personal game direction father.,What do you call fake spaghetti? An impasta!,American,1,2,3,2,4,1,5,movie night,I love hanging out at Plaza of Americas
Holly Pena,he/him,veronica844@ufl.edu,581.763.9397x7867,@jennifer61,0,Marketing,CSA,1,,1.0,Prefer someone from AAA,0,1,Fun and outgoing,Find a mentor,reading,"painting, movies",The Weeknd - K-pop,Talking over others,fashion trends,Subject against provide old establish him police difference fill take eat.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,1,2,2,1,5,5,5,sleeping early,
David Stein,she/her,kristen732@ufl.edu,(801)832-9708x862,@philip19,0,Marketing,FSA,1,,2.0,,1,1,Shares similar hobbies,Network and make friends,gym,"traveling, gym",Taylor Swift - R&B,Chewing loudly,sports,Citizen young than interesting executive reality great.,What do you call fake spaghetti? An impasta!,Asian,1,4,4,2,4,2,1,going out,
Donna Barrett,he/him,michael831@ufl.edu,985-880-4951,@emily78,0,Finance,VSO,1,,4.0,Prefer someone same major,1,0,Supportive and caring,Find a mentor,traveling,"painting, music",The Weeknd - EDM,Being late,gaming strategies,Task present trouble company prove current relate situation make go threat happy.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,1,4,2,3,3,2,1,gaming all night,Looking for study buddies
Carrie Adkins,she/her,christian456@ufl.edu,001-130-823-0505,@darren51,0,Data Science,AAA,1,,3.0,Prefer someone same major,1,1,Shares similar hobbies,Network and make friends,painting,"cooking, photography, music",NewJeans - EDM,Bad hygiene,fashion trends,Ever wait although shoulder way describe interest.,Why don’t skeletons fight each other? They don’t have the guts.,I would literally eat anything,0,3,2,3,2,2,4,movie night,
Tanya Lyons,he/him,april122@ufl.edu,+1-129-601-8648x5814,@lisa61,0,Finance,VSO,1,,4.0,Prefer someone also into K-pop,1,1,Fun and outgoing,Network and make friends,cooking,"traveling, painting, gym",The Weeknd - Hip-hop,Being late,gaming strategies,Rock will sound turn know world trip team hot again.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,0,4,4,3,3,5,5,going out,I love hanging out at Plaza of Americas
David Johnson,they/them,jodi857@ufl.edu,+1-762-604-9823,@diane83,0,Biology,FSA,1,,2.0,Prefer someone also into K-pop,1,0,Shares similar hobbies,Network and make friends,traveling,painting,Joji - Rock,Being late,movies & TV shows,Main imagine finish control walk rather someone bag attack hospital.,Why don’t skeletons fight each other? They don’t have the guts.,I would literally eat anything,1,4,3,2,4,3,2,studying at Marston,Looking for study buddies
Steven West,she/her,jill733@ufl.edu,+1-930-521-4195x586,@john89,0,Marketing,VSO,1,,5.0,Prefer someone same major,0,0,Chill and introverted,Guide underclassmen,gym,"reading, cooking, traveling",Post Malone - Lo-fi,Talking over others,fashion trends,Manager president usually start significant wrong manager almost.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,0,4,2,3,4,5,1,movie night,Looking for study buddies
Heather Meyer,he/him,stephen478@ufl.edu,(035)979-8679,@kenneth61,0,Biology,VSO,1,,2.0,Prefer someone from AAA,0,0,Shares similar hobbies,Guide underclassmen,painting,"gym, music, cooking",Taylor Swift - R&B,Being late,k-pop gossip,Scientist next teacher short than important read suggest.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,0,4,3,1,3,5,4,dinner with friends,Looking for study buddies
Melissa Norris,they/them,brian474@ufl.edu,961-305-5202,@ryan2,0,Marketing,HSA,1,,5.0,Prefer someone from AAA,1,1,Supportive and caring,Meet new people,photography,gym,Post Malone - Indie,Bad hygiene,gaming strategies,State age would half reveal treat third woman personal past girl foot team difficult if.,Why don’t skeletons fight each other? They don’t have the guts.,Italian,1,4,3,1,3,3,1,going out,I love hanging out at Plaza of Americas
Jessica Dominguez,they/them,micheal870@ufl.edu,001-663-752-8076,@krystal42,0,Computer Science,VSO,1,,2.0,Prefer someone also into K-pop,1,0,Shares similar hobbies,Guide underclassmen,traveling,gym,SZA - K-pop,Talking over others,fashion trends,Plant forward although fill around information relationship people performance skill.,Why don’t skeletons fight each other? They don’t have the guts.,American,0,4,4,2,5,2,5,gaming all night,
James Hayes,they/them,corey765@ufl.edu,001-783-748-9562x680,@anthony18,0,Finance,AAA,1,,1.0,Prefer someone same major,0,1,Supportive and caring,Find a mentor,cooking,"painting, cooking, gaming",Drake - Indie,Bad hygiene,AI & tech,Determine reality live remain information away guess nor.,I only know 25 letters of the alphabet. I don’t know y.,Greek/Mediterranean,1,3,2,3,4,2,1,sleeping early,
Mary Evans,they/them,andrew42@ufl.edu,(725)503-5986,@jason81,0,Computer Science,VSO,1,,5.0,Prefer someone also into K-pop,0,1,Fun and outgoing,Guide underclassmen,painting,"movies, gym, photography",SZA - Lo-fi,Being late,fashion trends,Though rich but much even ten film back behavior else marriage operation direction food give base.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,0,2,2,3,2,1,2,studying at Marston,Looking for study buddies
Roger Mcconnell,he/him,debra257@ufl.edu,(612)689-1646x533,@jeremiah49,0,Biology,CSA,1,,1.0,,1,1,Supportive and caring,Network and make friends,photography,"music, cooking, movies",Taylor Swift - K-pop,Bad hygiene,movies & TV shows,Phone manager human school describe improve bag kitchen child usually remain reason pick standard form painting.,Why don’t skeletons fight each other? They don’t have the guts.,American,1,4,4,3,3,4,3,sleeping early,
Kristen Johnson,they/them,lauren337@ufl.edu,993-306-9691x987,@tony49,0,Biology,FSA,1,,4.0,,1,1,Shares similar hobbies,Network and make friends,gaming,"gaming, photography",Taylor Swift - Hip-hop,Talking over others,AI & tech,Already board concern relate art although movie line avoid adult exactly seem little seem.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,0,3,2,1,3,5,4,gaming all night,I love hanging out at Plaza of Americas
Eric Moran,she/her,nicole450@ufl.edu,+1-406-586-7896x22741,@rachel16,0,Finance,HSA,1,,4.0,Prefer someone from AAA,1,0,Fun and outgoing,Find a mentor,movies,photography,Joji - Pop,Talking over others,fashion trends,Fish clear leader management begin two back although my.,Why don’t skeletons fight each other? They don’t have the guts.,Mexican,1,4,3,2,4,3,2,dinner with friends,
Colleen Cross,he/him,karen598@ufl.edu,+1-127-242-7633x3836,@jared77,0,Data Science,HSA,1,,5.0,Prefer someone same major,1,1,Fun and outgoing,Meet new people,traveling,"traveling, photography, painting",Drake - Pop,Bad hygiene,movies & TV shows,Indeed design wonder face well least safe break.,I only know 25 letters of the alphabet. I don’t know y.,Greek/Mediterranean,0,2,2,3,5,1,4,going out,I love hanging out at Plaza of Americas
Terry Faulkner,he/him,donna801@ufl.edu,(474)085-9064,@kelly89,0,Mechanical Engineering,HSA,1,,3.0,Prefer someone from AAA,0,1,Fun and outgoing,Network and make friends,music,"movies, traveling, painting",SZA - Indie,Overusing emojis,fashion trends,Theory now then any war course seven with away book during decision.,I only know 25 letters of the alphabet. I don’t know y.,American,0,4,2,2,3,5,2,dinner with friends,
Julian Warren,she/her,brittney757@ufl.edu,917-085-4568,@jeremy30,0,Mechanical Engineering,CSA,1,,5.0,Prefer someone also into K-pop,1,0,Fun and outgoing,Meet new people,cooking,traveling,Taylor Swift - Indie,Being late,k-pop gossip,Effort including clear simply particularly drive training push board he door happy center movement game.,What do you call fake spaghetti? An impasta!,I would literally eat anything,1,4,4,3,3,4,3,gaming all night,I love hanging out at Plaza of Americas
Lori Graves,they/them,tara51@ufl.edu,+1-156-327-6494,@scott12,0,Finance,AAA,1,,2.0,Prefer someone also into K-pop,0,0,Fun and outgoing,Meet new people,movies,traveling,NewJeans - Hip-hop,Talking over others,k-pop gossip,Sign marriage teach mention if technology their relationship seem news than air since expect.,I only know 25 letters of the alphabet. I don’t know y.,Italian,1,3,4,1,4,1,4,dinner with friends,
Jessica Martin,he/him,leslie950@ufl.edu,(555)687-0958x855,@patrick88,0,Data Science,FSA,1,,2.0,Prefer someone from AAA,1,0,Supportive and caring,Network and make friends,gaming,gaming,Post Malone - EDM,Talking over others,k-pop gossip,Everybody agent nation account necessary make glass.,Why don’t skeletons fight each other? They don’t have the guts.,Asian,1,4,3,3,3,2,3,dinner with friends,
Ryan Bishop,she/her,philip94@ufl.edu,(179)478-3808x0582,@jonathan22,0,Computer Science,VSO,1,,5.0,Prefer someone from AAA,1,0,Fun and outgoing,Meet new people,music,"reading, painting, cooking",SZA - Lo-fi,Overusing emojis,fashion trends,Most red cover ten yes sport enter happy future usually.,I only know 25 letters of the alphabet. I don’t know y.,I would literally eat anything,1,3,4,3,3,1,5,movie night,
John Scott,they/them,heather255@ufl.edu,001-037-734-1333x6605,@garrett71,0,Data Science,CSA,1,,5.0,,0,1,Shares similar hobbies,Meet new people,painting,"music, movies",Joji - Lo-fi,Being late,sports,Always doctor practice white majority nothing senior too full end attention.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,0,2,2,3,4,1,2,movie night,Looking for study buddies
Nicole Schroeder,he/him,david395@ufl.edu,1291051101,@latasha83,0,Marketing,HSA,1,,1.0,,0,1,Fun and outgoing,Find a mentor,cooking,traveling,Taylor Swift - Hip-hop,Bad hygiene,AI & tech,Open age huge lose win eight participant effort most.,What do you call fake spaghetti? An impasta!,Asian,1,2,4,3,2,5,2,movie night,
Maria Ellis,they/them,wanda160@ufl.edu,527.576.9990x02219,@valerie89,0,Data Science,None,1,,3.0,,0,0,Chill and introverted,Network and make friends,traveling,gym,Taylor Swift - EDM,Bad hygiene,movies & TV shows,Better middle successful perform put another head their might condition away range.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,0,4,2,1,2,1,4,dinner with friends,
Richard Walls,she/her,colleen971@ufl.edu,5594616109,@pamela6,0,Biology,None,1,,4.0,,1,0,Shares similar hobbies,Guide underclassmen,movies,"painting, cooking, gaming",Joji - EDM,Being late,AI & tech,Environmental edge western be quite attention collection final smile spend recognize.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,0,3,2,1,5,4,4,dinner with friends,
Stephanie Welch,they/them,wesley444@ufl.edu,001-834-264-5553x80370,@linda52,0,Finance,AAA,1,,3.0,Prefer someone also into K-pop,1,0,Supportive and caring,Find a mentor,gym,painting,Taylor Swift - Hip-hop,Chewing loudly,k-pop gossip,Possible suddenly wife build analysis benefit meet trade degree.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,1,2,4,2,4,1,5,gaming all night,I love hanging out at Plaza of Americas
Thomas Brown,they/them,evelyn589@ufl.edu,655.092.2740,@desiree80,0,Data Science,VSO,1,,5.0,,1,1,Shares similar hobbies,Network and make friends,painting,"music, cooking, movies",Taylor Swift - Indie,Being late,AI & tech,Write soldier other serious according news social yeah officer Democrat inside.,What do you call fake spaghetti? An impasta!,I would literally eat anything,1,2,4,3,4,3,3,movie night,Looking for study buddies
Sheri Stokes,she/her,mark522@ufl.edu,862.488.6946,@reginald4,0,Data Science,VSO,1,,2.0,Prefer someone from AAA,1,1,Supportive and caring,Network and make friends,gaming,cooking,Taylor Swift - K-pop,Talking over others,AI & tech,Call politics few house today whether upon big thus early right record.,What do you call fake spaghetti? An impasta!,American,0,3,3,1,5,4,5,going out,I love hanging out at Plaza of Americas
Sabrina Gonzales,she/her,barry478@ufl.edu,+1-196-977-8387x8886,@david31,0,Biology,FSA,1,,5.0,,0,0,Chill and introverted,Find a mentor,music,"cooking, traveling, reading",SZA - Pop,Being late,fashion trends,Run compare data if exactly adult skin pull rock every.,What do you call fake spaghetti? An impasta!,American,0,3,4,1,4,4,1,movie night,
Virginia Torres,she/her,john533@ufl.edu,261-169-4178,@jessica66,0,Biology,HSA,1,,3.0,,0,0,Shares similar hobbies,Network and make friends,reading,"movies, painting, gym",Drake - R&B,Bad hygiene,gaming strategies,Fall community read grow decide strong include open account.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,0,4,4,2,5,2,5,sleeping early,I love hanging out at Plaza of Americas
Derrick Dean,he/him,barry171@ufl.edu,001-963-667-5406x53342,@ronald26,0,Biology,VSO,1,,2.0,Prefer someone same major,1,1,Chill and introverted,Meet new people,movies,music,Taylor Swift - Rock,Being late,k-pop gossip,Health material large front whatever film government.,Why don’t skeletons fight each other? They don’t have the guts.,American,1,3,4,3,5,2,2,studying at Marston,
Michael Haas,he/him,david509@ufl.edu,953-381-3366x2647,@zachary27,0,Mechanical Engineering,CSA,1,,1.0,Prefer someone also into K-pop,1,0,Chill and introverted,Find a mentor,gym,reading,Taylor Swift - Hip-hop,Chewing loudly,gaming strategies,Society suggest site specific order concern number number appear war word.,What do you call fake spaghetti? An impasta!,Mexican,0,4,4,3,5,2,2,movie night,
Ian Mcconnell,they/them,robert559@ufl.edu,(052)100-2192x0089,@stephanie65,0,Finance,HSA,1,,1.0,,0,1,Fun and outgoing,Meet new people,traveling,"gym, cooking",Post Malone - Rock,Being late,gaming strategies,Popular easy create will history shoulder build prepare road even story scene peace mission.,What do you call fake spaghetti? An impasta!,Asian,1,2,3,2,5,2,5,studying at Marston,I love hanging out at Plaza of Americas
Joseph King,he/him,elizabeth312@ufl.edu,858-897-6808x70311,@wendy55,0,Marketing,None,1,,5.0,Prefer someone same major,1,1,Chill and introverted,Guide underclassmen,reading,cooking,NewJeans - Indie,Bad hygiene,gaming strategies,Itself both affect speech American collection strong play peace sit hear wind forward may manage.,I only know 25 letters of the alphabet. I don’t know y.,American,0,3,3,2,2,1,1,sleeping early,
Tiffany Reed,she/her,douglas183@ufl.edu,490-341-5422,@katherine35,0,Biology,VSO,1,,3.0,Prefer someone from AAA,0,0,Supportive and caring,Meet new people,movies,"gaming, traveling, photography",NewJeans - Pop,Overusing emojis,k-pop gossip,Force reflect movie wear must season true theory choice baby yet single example attention interesting.,Why don’t skeletons fight each other? They don’t have the guts.,Italian,0,2,2,2,2,3,1,gaming all night,
Rachel Willis,she/her,mary897@ufl.edu,001-832-610-0120,@shannon22,0,Marketing,FSA,1,,2.0,Prefer someone also into K-pop,0,0,Shares similar hobbies,Guide underclassmen,music,cooking,NewJeans - Indie,Being late,sports,Wrong past method reveal window west country management decision.,Why don’t skeletons fight each other? They don’t have the guts.,I would literally eat anything,1,4,2,3,5,1,2,going out,Looking for study buddies
Lindsey Garcia,he/him,jill46@ufl.edu,215.073.3840x91730,@dennis43,0,Marketing,FSA,1,,5.0,Prefer someone same major,0,1,Fun and outgoing,Find a mentor,gaming,"reading, music, gym",Taylor Swift - EDM,Chewing loudly,AI & tech,One health performance camera development best society help idea give share eye.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,0,4,4,2,5,2,2,dinner with friends,
Erica Contreras,she/her,walter270@ufl.edu,9449536820,@christina29,0,Data Science,VSO,1,,4.0,,1,1,Chill and introverted,Network and make friends,reading,"painting, music",Taylor Swift - Hip-hop,Talking over others,fashion trends,According perform thing tell second sort by half receive a loss life walk its weight take.,What do you call fake spaghetti? An impasta!,Mexican,0,3,4,2,2,3,4,dinner with friends,
Robert Hall,they/them,gary688@ufl.edu,1976108323,@becky56,0,Marketing,None,1,,3.0,,0,1,Supportive and caring,Find a mentor,movies,"cooking, music",Post Malone - Rock,Talking over others,k-pop gossip,Officer language these accept child world person nature hard change purpose.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,0,4,3,1,3,2,3,studying at Marston,Looking for study buddies
Marc Reed,she/her,juan825@ufl.edu,745.687.7209,@keith31,0,Biology,CSA,1,,5.0,,0,1,Fun and outgoing,Meet new people,painting,"music, painting",The Weeknd - Rock,Bad hygiene,AI & tech,Along join agreement sign sister enjoy society write.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,1,2,2,3,3,2,2,dinner with friends,
Amy Saunders,she/her,bonnie512@ufl.edu,+1-649-668-4998,@brian43,0,Computer Science,None,1,,2.0,Prefer someone from AAA,1,0,Chill and introverted,Find a mentor,gym,"traveling, gym, music",Post Malone - Lo-fi,Being late,sports,Week green hit speech floor east information executive entire.,What do you call fake spaghetti? An impasta!,American,0,4,4,3,5,5,4,going out,
Rachel Kelley,they/them,dennis376@ufl.edu,118-056-3859,@renee63,0,Data Science,FSA,1,,1.0,Prefer someone also into K-pop,0,1,Fun and outgoing,Meet new people,cooking,"painting, traveling",NewJeans - Hip-hop,Bad hygiene,gaming strategies,Expert oil able just simply something challenge general country expert hundred herself believe choice.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,1,3,4,2,5,1,1,movie night,
Makayla Reese,they/them,jasmine915@ufl.edu,(922)914-9403,@kevin77,0,Marketing,FSA,1,,2.0,,0,1,Fun and outgoing,Network and make friends,movies,gym,Taylor Swift - Rock,Chewing loudly,k-pop gossip,Young your fine smile he arrive response lay.,What do you call fake spaghetti? An impasta!,American,1,4,4,2,2,4,2,studying at Marston,
Jerry Brown,he/him,james285@ufl.edu,208-749-6203,@sally92,0,Finance,VSO,1,,1.0,Prefer someone also into K-pop,1,1,Supportive and caring,Guide underclassmen,gaming,"music, cooking, painting",SZA - EDM,Talking over others,fashion trends,See possible southern perhaps concern catch performance sure seat young them remain place.,What do you call fake spaghetti? An impasta!,I would literally eat anything,1,2,4,3,3,5,4,studying at Marston,
Destiny Guerrero,he/him,kaitlyn459@ufl.edu,(125)611-3692x17921,@robin25,0,Mechanical Engineering,FSA,1,,1.0,Prefer someone also into K-pop,1,1,Chill and introverted,Network and make friends,reading,"traveling, photography, cooking",Post Malone - Hip-hop,Chewing loudly,fashion trends,Teach fine personal quite affect it article off be sure movie.,Why did the scarecrow get promoted? He was outstanding in his field.,Greek/Mediterranean,1,2,4,1,2,1,5,studying at Marston,
Brandi Ellis,she/her,kimberly44@ufl.edu,001-784-459-0867x306,@jose31,0,Data Science,None,1,,2.0,,1,0,Chill and introverted,Guide underclassmen,movies,"photography, painting, movies",Drake - EDM,Talking over others,k-pop gossip,Wind several hope join describe one discussion never Mr worry field hair.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,1,2,4,3,3,5,5,gaming all night,
Daniel Clark,she/her,amber779@ufl.edu,350.843.3316x6223,@brittney73,0,Marketing,None,1,,3.0,,1,1,Chill and introverted,Guide underclassmen,painting,"gaming, photography, gym",NewJeans - R&B,Overusing emojis,gaming strategies,Price father large paper number travel she week heart can film role.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,1,4,3,2,5,5,5,studying at Marston,I love hanging out at Plaza of Americas
